cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id,description,cardtype,type,monstertype,attribute,atk,def,level,pscales,lcount,larrows
1st Movement Solo ,0,Super Rare,Unlimited,A Song of Zephyr and Petals; Geas of the Light; Master Pack,,44256816,,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters.",Spell,Normal,,,,,,,,
3-Hump Lacooda ,0,Common,Unlimited,Legacy Pack,,86988864,,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.",Monster,Effect,Beast,EARTH,500,1500,3,,,
"30,000-Year White Turtle ",0,Common,Unlimited,Legacy Pack,,11714098,,"A huge turtle that has existed for over 30,000 years.",Monster,Normal,Aqua,WATER,1250,2100,5,,,
4-Starred Ladybug of Doom ,0,Common,Unlimited,Legacy Pack,,83994646,,FLIP: Destroy all Level 4 monsters your opponent controls.,Monster,Flip;Effect,Insect,WIND,800,1200,3,,,
7 ,0,Common,Unlimited,Legacy Pack,,67048711,,"When there are 3 face-up ""7"" cards on your side of the field, draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.",Spell,Continuous,,,,,,,,
7 Colored Fish ,0,Common,Unlimited,Legacy Pack,,23771716,,A rare rainbow fish that has never been caught by mortal man.,Monster,Normal,Fish,WATER,1800,800,4,,,
7 Completed ,0,Common,Unlimited,Legacy Pack,,86198326,,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",Spell,Equip,,,,,,,,
8-Claws Scorpion ,0,Common,Unlimited,Legacy Pack,,14261867,,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",Monster,Effect,Insect,DARK,300,200,2,,,
A-Assault Core ,0,Super Rare,Unlimited,Emblazoned Armor; Master Pack; The Ultimate Sparkle,,30012506,,"Once per turn, you can either: Target 1 LIGHT Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the GY: You can add 1 other Union monster from your GY to your hand.",Monster,Union;Effect,Machine,LIGHT,1900,200,4,,,
A-Team: Trap Disposal Unit ,0,Rare,Unlimited,Legacy Pack,,13026402,,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.",Monster,Effect,Machine,FIRE,300,400,2,,,
A-to-Z-Dragon Buster Cannon ,0,Ultra Rare,Unlimited,Legacy Pack,,65172015,,"""ABC-Dragon Buster"" + ""XYZ-Dragon Cannon""
Must be Special Summoned (from your Extra Deck) by banishing cards you control with the above original names, and cannot be Special Summoned by other ways. (You do not use ""Polymerization"".) During either player's turn, when your opponent activates a Spell/Trap Card, or monster effect: You can discard 1 card; negate the activation, and if you do, destroy that card. During either player's turn: You can banish this card, then target 1 each of your banished ""ABC-Dragon Buster"", and ""XYZ-Dragon Cannon""; Special Summon them.",Monster,Fusion;Effect,Machine,LIGHT,4000,4000,10,,,
A-to-Z Energy Load ,0,Common,Unlimited,Master Pack; The Ultimate Sparkle,,75926389,,"When your opponent activates a card or effect: Draw cards equal to the number of Level 8 or higher LIGHT Machine Fusion Monsters you control. During your Standby Phase: You can banish this card from your GY; shuffle up to 6 of your banished LIGHT Machine monsters into the Deck, including a Union monster. You can only use each effect of ""A-to-Z Energy Load"" once per turn.",Trap,Normal,,,,,,,,
A.I.'s Ritual ,0,Common,Unlimited,AI Omniscience; Master Pack,,85327820,,"This card can be used to Ritual Summon any Cyberse Ritual Monster. You must also Tribute ""@Ignister"" monsters from your hand or field whose total Levels equal or exceed the Level of the Ritual Monster you Ritual Summon. If you control an ""@Ignister"" monster when this effect is activated, you can also use ""@Ignister"" monster(s) in your GY, by banishing them.",Spell,Ritual,,,,,,,,
A.I.'s Show ,0,Super Rare,Unlimited,AI Omniscience; Master Pack,,54374642,,"While you control a Link-3 or higher ""@Ignister"" monster in the Extra Monster Zone, when an opponent's monster declares an attack: Special Summon from your Extra Deck any number of non-Link Cyberse monster(s) with 2300 ATK, whose combined ATK is less than or equal to the attacking monster's ATK, then end the Battle Phase.",Trap,Normal,,,,,,,,
A.I.dle Reborn ,0,Rare,Unlimited,AI Omniscience; Master Pack,,22933016,,"Target 1 ""@Ignister"" monster in your GY; Special Summon it, also you cannot Special Summon for the rest of this turn after this card resolves, except Cyberse monsters. When an attack is declared involving 2 monsters: You can banish this card from your GY and 1 card from your hand, then target 1 of your ""A.I."" Spells/Traps that is banished or in your GY, except ""A.I.dle Reborn""; add that card to your hand. You can only use each effect of ""A.I.dle Reborn"" once per turn.",Spell,Quick-Play,,,,,,,,
A.I.Q ,0,Common,Unlimited,AI Omniscience; Master Pack,,69381150,,"Activate only if you control an ""@Ignister"" monster. Once per turn, during your Standby Phase, Tribute 1 Link Monster, or destroy this card. Each player can only Link Summon a monster once per turn while this card is face-up on the field.",Trap,Continuous,,,,,,,,
A.I. Challenge You ,0,Rare,Unlimited,AI Omniscience; Master Pack,,28645123,,"Monsters your opponent controls lose 100 ATK for each card you control. If your ""@Ignister"" monster battles, your opponent cannot activate cards or effects until the end of the Damage Step. When your ""@Ignister"" monster is destroyed by battle: You can target 1 other Cyberse monster with 2300 ATK in your GY; Special Summon it. You can only use this effect of ""A.I. Challenge You"" once per turn.",Trap,Continuous,,,,,,,,
A.I. Contact ,0,Common,Unlimited,AI Omniscience; Master Pack,,10493654,,"If ""Ignister A.I.Land"" is in your Field Zone: Reveal 1 ""Ignister A.I.Land"" in your hand; place it on the bottom of the Deck, and if you do, draw 3 cards. You can only activate 1 ""A.I. Contact"" per turn.",Spell,Normal,,,,,,,,
A.I. Love Fusion ,0,Common,Unlimited,AI Omniscience; Master Pack,,59332125,,"Fusion Summon 1 Cyberse Fusion Monster from your Extra Deck, using monsters from your hand or field as material. If you use your ""@Ignister"" monster, you can also use 1 Link Monster your opponent controls as material. You can only activate 1 ""A.I. Love Fusion"" per turn.",Spell,Normal,,,,,,,,
A.I. Meet You ,0,Super Rare,Unlimited,AI Omniscience; Master Pack,,06552971,,"Reveal 1 Cyberse monster with 2300 ATK in your hand or Extra Deck, and add 1 ""@Ignister"" monster with the same Attribute from your Deck to your hand. During the End Phase of this turn, take 2300 damage if you did not Special Summon the revealed monster, or a monster with the same name, after you resolved this effect. You cannot activate monster effects for the rest of this turn after this card resolves, except Cyberse monsters. You can only activate 1 ""A.I. Meet You"" per turn.",Spell,Normal,,,,,,,,
A.I. Shadow ,0,Common,Unlimited,AI Omniscience; Master Pack,,77421977,,"Activate this card by targeting 1 ""@Ignister"" monster you control. That monster gains 800 ATK, also all monsters your opponent controls must attack that monster you control, if able. If this face-up card in its owner's Spell & Trap Zone has left the field because of an opponent's effect, and is now in the GY or banished: Draw 1 card. You can only use this effect of ""A.I. Shadow"" once per turn.",Trap,Continuous,,,,,,,,
Abaki ,0,Common,Unlimited,Legacy Pack,,12694768,,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.",Monster,Effect,Fiend,FIRE,1700,1100,4,,,
Abare Ushioni ,0,Common,Unlimited,,,89718302,,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.",Monster,Effect,Beast-Warrior,EARTH,1200,1200,4,,,
ABC-Dragon Buster ,0,Ultra Rare,Unlimited,Emblazoned Armor; Master Pack; The Ultimate Sparkle,,01561110,,"""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""
Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your GY. (You do not use ""Polymerization"".) Once per turn (Quick Effect): You can discard 1 card, then target 1 card on the field; banish it. During your opponent's turn (Quick Effect): You can Tribute this card, then target 3 of your banished LIGHT Machine Union monsters with different names; Special Summon them.",Monster,Fusion;Effect,Machine,LIGHT,3000,2800,8,,,
Abominable Chamber of the Unchained ,0,Common,Unlimited,Master Pack; Roused from Destruction,,80801743,,"Special Summon 1 ""Unchained"" monster from your hand or GY. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abominable Chamber of the Unchained"" once per turn.",Trap,Normal,,,,,,,,
Abominable Unchained Soul ,0,Super Rare,Unlimited,Master Pack; Name of Champions; Roused from Destruction,,01966438,,"You can only Special Summon ""Abominable Unchained Soul(s)"" once per turn. If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. If this card is Special Summoned: You can discard 1 card; destroy 1 card on the field. Once per turn, during the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card, but place it on the bottom of the Deck when it leaves the field.",Monster,Effect,Fiend,DARK,3000,1500,8,,,
Abomination's Prison ,0,Rare,Unlimited,Blazing Arena; Master Pack; Name of Champions; Roused from Destruction,,27412542,,"Add 1 ""Unchained"" card from your Deck to your hand. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abomination's Prison"" once per turn.",Spell,Normal,,,,,,,,
Absolute Crusader ,0,Rare,Unlimited,Legacy Pack,,70832512,,If a Level 5 or higher monster(s) is Special Summoned: Tribute this face-up card; destroy that Level 5 or higher monster(s).,Monster,Effect,Warrior,EARTH,1800,1200,4,,,
Absolute End ,0,Common,Unlimited,Legacy Pack,,27744077,,"Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks.",Trap,Normal,,,,,,,,
Absolute King Back Jack ,0,Super Rare,Unlimited,Master Pack; The Trap in the Wicked Castle,,60990740,,"During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck, and if it is a Normal Trap, Set it to your field. Otherwise, send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn.",Monster,Effect,Fiend,DARK,0,0,1,,,
Absolute Powerforce ,0,Common,Unlimited,Master Pack; Return of the King; Savage Crimson Dragon,,51779204,,"Target 1 ""Red Dragon Archfiend"" you control; if that monster you control battles an opponent's monster this turn, apply these effects until the end of the Damage Step.
●It gains 1000 ATK.
●Your opponent cannot activate cards or effects.
●If it attacks a Defense Position monster, inflict piercing battle damage to your opponent.
●Any battle damage your opponent takes from that battle is doubled.",Spell,Quick-Play,,,,,,,,
Absorbing Jar ,0,Rare,Unlimited,Legacy Pack,,03900605,,"FLIP: Destroy all Set Spells/Traps on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn.",Monster,Flip;Effect,Rock,EARTH,600,500,3,,,
Absorbing Kid from the Sky ,0,Common,Unlimited,Legacy Pack,,49771608,,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.",Monster,Effect,Fairy,LIGHT,1300,1000,4,,,
Absorb Fusion ,0,Common,Unlimited,Master Pack; Pyroxene Relinquished; Strong Will,,71422989,,"Add 1 ""Gem-Knight"" card from your Deck to your hand, then you can apply this effect.
●Fusion Summon 1 ""Gem-Knight"" Fusion Monster from your Extra Deck, by banishing its materials from your hand or field.
You can only activate 1 ""Absorb Fusion"" per turn. You cannot Special Summon the turn you activate this card, except ""Gem-Knight"" monsters.",Spell,Normal,,,,,,,,
Absorouter Dragon ,0,Super Rare,Unlimited,Aim for the Stars; Master Pack; Shot Through Fiction,,67748760,,"If you control a ""Rokket"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn.",Monster,Effect,Dragon,DARK,1200,2800,7,,,
Abyss-scale of Cetus ,0,Common,Unlimited,Forgotten City Dwellers; Master Pack; Songstress of Sorrow Song; Wrath of the Tyrants,,19596712,,"Equip only to a ""Mermail"" monster. It gains 800 ATK. When a Trap effect that was activated on your opponent's field resolves, negate that effect, then send this card to the GY.",Spell,Equip,,,,,,,,
Abyss-scale of the Kraken ,0,Rare,Unlimited,Forgotten City Dwellers; Master Pack; Songstress of Sorrow Song; Wrath of the Tyrants,,08719957,,"Equip only to a ""Mermail"" monster. It gains 400 ATK. When a monster effect that was activated on your opponent's field resolves, negate that effect, then send this card to the GY.",Spell,Equip,,,,,,,,
Abyss-scale of the Mizuchi ,0,Common,Unlimited,Forgotten City Dwellers; Master Pack; Recollection of Stories; Songstress of Sorrow Song; Wrath of the Tyrants,,72932673,,"Equip only to a ""Mermail"" monster. It gains 800 ATK. When a Spell effect that was activated on your opponent's field resolves, negate that effect, then send this card to the GY.",Spell,Equip,,,,,,,,
